python,js,php,c,c++,java
5802446,2113043,1830387,262300,1382600,5382851
4333395,1529322,1541185,372000,1537100,3589632
5482865,1612646,1545548,280800,1471600,5009926
4438902,1231512,1257801,373200,1562200,2667084
